PrepositionFrequency,PronounFrequency,ArticleFrequency,HyperlinkFrequency,BlogwordFrequency,AssentWordFrequency,Polarity,Subjectivity,fmeasure,emoticons,gender
0,0,0,0,0,0,0,0,0.51,0,male
0,0.3333,0,0,0,0.1111,-0.1556,0.2889,0.465,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.51,0,male
0,0.3333,0,0,0,0.1111,-0.1556,0.2889,0.465,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0.1111,0,0,0,0,0.505,0,male
0,0,0,0.1111,0,0,0,0,0.505,0,male
0,0.1667,0.1667,0,0,0,-0.6,0.8,0.5,0,male
0,0.1667,0.1667,0,0,0,-0.6,0.8,0.5,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0.65,0.65,0.5,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.2,0,0,-0.0958,0.3708,0.51,0,male
0,0,0,0.0833,0,0,-0.275,0.6,0.505,0,male
0,0.0968,0,0,0,0.0323,-0.1,0.4,0.5,0,male
0,0.1111,0,0,0.0556,0.1111,0.4457,0.596,0.51,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0.5,0,0,0,0,0.85,1,0.49,0,male
0,0,0,0.1667,0,0,-0.69,0.95,0.5,0,male
0,0.1429,0,0.1429,0,0.1429,0.5,0.6,0.51,0,male
0,0,0,0.2,0,0,0,0.4,0.52,0,male
0,0,0,0.1,0,0,0.2,0.2,0.505,0,male
0,0,0,0,0,0,0,0,0.495,0,male
0,0,0,0.3333,0,0,-0.4,0.7,0.5,0,male
0,0,0,0.1667,0,0,0.4,0.8,0.525,0,male
0,0,0.3333,0.3333,0,0,0,0,0.515,0,male
0,0,0,0.25,0,0,-0.3,0.6,0.52,0,male
0,0,0.3333,0.3333,0,0,0,0,0.515,0,male
0,0,0.2,0.2,0,0,0.025,0.5,0.515,0,male
0,0.2,0,0.2,0,0,0.5,0.6,0.505,0,male
0,0.2,0,0.2,0,0,0,0,0.51,0,male
0,0,0,0.3333,0,0,0.1364,0.5,0.51,0,male
0,0.0714,0.0357,0,0,0.0357,-0.0958,0.5667,0.53,0,male
0,0.3333,0,0.1667,0,0,0.3,0.1,0.495,0,male
0,0.25,0,0.25,0,0,0.5,0.5,0.505,0,male
0,0,0,0.2,0,0,0,0.4,0.52,0,male
0,0.4,0,0.2,0,0,-0.4167,0.6667,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.495,0,male
0,0,0,0.25,0,0,0.65,0.65,0.5,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.2,0,0,-0.0958,0.3708,0.51,0,male
0,0,0,0.0833,0,0,-0.275,0.6,0.505,0,male
0,0.0968,0,0,0,0.0323,-0.1,0.4,0.5,0,male
0,0.1111,0,0,0.0556,0.1111,0.4457,0.596,0.51,0,male
0,0,0,0.5,0,0,0,0,0.51,0,male
0,0.5,0,0,0,0,0.85,1,0.49,0,male
0,0,0,0.1667,0,0,-0.69,0.95,0.5,0,male
0,0.1429,0,0.1429,0,0.1429,0.5,0.6,0.51,0,male
0,0,0,0.2,0,0,0,0.4,0.52,0,male
0,0,0,0.1,0,0,0.2,0.2,0.505,0,male
0,0,0,0,0,0,0,0,0.495,0,male
0,0,0,0.3333,0,0,-0.4,0.7,0.5,0,male
0,0,0,0.1667,0,0,0.4,0.8,0.525,0,male
0,0,0.3333,0.3333,0,0,0,0,0.515,0,male
0,0,0,0.25,0,0,-0.3,0.6,0.52,0,male
0,0,0.3333,0.3333,0,0,0,0,0.515,0,male
0,0,0.2,0.2,0,0,0.025,0.5,0.515,0,male
0,0.2,0,0.2,0,0,0.5,0.6,0.505,0,male
0,0.2,0,0.2,0,0,0,0,0.51,0,male
0,0,0,0.3333,0,0,0.1364,0.5,0.51,0,male
0,0.0714,0.0357,0,0,0.0357,-0.0958,0.5667,0.53,0,male
0,0.3333,0,0.1667,0,0,0.3,0.1,0.495,0,male
0,0.25,0,0.25,0,0,0.5,0.5,0.505,0,male
0,0,0,0.2,0,0,0,0.4,0.52,0,male
0,0.4,0,0.2,0,0,-0.4167,0.6667,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.25,0,0,0,0,0.495,0,male
0,0,0,0.3333,0,0,0,0,0.535,0,male
0,0,0,0.4,0,0,0,0,0.515,0,male
0,0,0,0.1429,0,0,0,0,0.585,0.1429,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.3333,0,0,0,0,0.535,0,male
0,0,0,0.4,0,0,0,0,0.515,0,male
0,0,0,0.1429,0,0,0,0,0.585,0.1429,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0.093,0.0465,0,0,0.0465,-0.1222,0.6611,0.515,0,male
0,0.2,0,0,0,0,-0.6,0.8,0.495,0,male
0,0.093,0.0465,0,0,0.0465,-0.1222,0.6611,0.515,0,male
0,0.2,0,0,0,0,-0.6,0.8,0.495,0,male
0,0,0,0.5,0,0,0.25,0.3333,0.515,0,male
0,0,0,0.5,0,0,0,0,0.52,0,male
0,0.5,0,0.2,0,0,0,0,0.5,0,male
0,0.1429,0,0.2857,0,0,0.5,0.8889,0.51,0,male
0,0.1667,0,0.3333,0,0,0,0,0.51,0,male
0,0,0,0.5,0,0,0.25,0.3333,0.515,0,male
0,0,0,0.5,0,0,0,0,0.52,0,male
0,0.5,0,0.2,0,0,0,0,0.5,0,male
0,0.1429,0,0.2857,0,0,0.5,0.8889,0.51,0,male
0,0.1667,0,0.3333,0,0,0,0,0.51,0,male
0,0,0,0,0,0,0.6,0.8,0.51,0.3333,male
0,0,0,0,0,0,-0.1,0.2,0.51,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0.1724,0.0345,0,0,0.0345,0.25,0.25,0.5,0,male
0,0,0,0,0,0,0.5,1,0.505,0,male
0,0.1111,0.1111,0,0,0,-0.5,0.5,0.5,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0,0,0,-0.4,0.4,0.5,0,male
0,0,0,0,0,0,0.625,0.5,0.5,0,male
0,0,0,0,0,0,0.6,0.8,0.51,0.3333,male
0,0,0,0,0,0,-0.1,0.2,0.51,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0.1724,0.0345,0,0,0.0345,0.25,0.25,0.5,0,male
0,0,0,0,0,0,0.5,1,0.505,0,male
0,0.1111,0.1111,0,0,0,-0.5,0.5,0.5,0,male
0,0,0,0,0,0,0,0,0.505,0,male
0,0,0,0,0,0,-0.4,0.4,0.5,0,male
0,0,0,0,0,0,0.625,0.5,0.5,0,male
0,0,0,0,0.25,0,1,0.9,0.5,0,male
0,0.1667,0,0.3333,0,0,0,0,0.51,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0,0,0,0,0,0.5,0,male
0,0,0,0.0667,0,0,-0.0667,0.4,0.55,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,0.1111,0,0,0,0,0.505,0.1111,male
0,0.0833,0.0833,0.0833,0,0,0,0,0.505,0,male
0,0,0,0.1111,0.1111,0,0,0,0.515,0,male
0,0.0417,0,0,0,0,0.2667,0.5208,0.525,0,male
0,0,0.0769,0,0,0,0,0,0.81,0,male
0,0,0,0.1111,0,0,0,0.1,0.51,0,male
0,0,0,0.25,0,0,0,0,0.51,0,male
0,0,0,0.25,0,0,0,0,0.5,0,male
0,0.1538,0.0385,0.0385,0,0,0.3571,0.5238,0.49,0,male
0,0,0,0.1667,0,0,0,0,0.51,0,male
0,0.0833,0,0.0833,0,0.0833,-0.625,1,0.51,0,male
0,0,0,0.0455,0,0,0,0,0.56,0,male
0,0.05,0,0.05,0,0,-0.1905,0.4855,0.505,0,male
0,0,0.05,0.05,0,0.05,0.1333,0.4,0.52,0,male
0,0,0,1,0,0,0,0,0.505,0,male
0,0,0,1,0,0,0,0,0.505,0,male
